date,uuid,date2,volume,open,high,low,close,chg,percent,turnoverrate,amount
2012/5/28,SH510300|2012-05-28,2012/5/28,1277518769,2.1572,2.2046,2.1513,2.202,0.0255,1.17,10.45,
2012/5/29,SH510300|2012-05-29,2012/5/29,714949008,2.2004,2.2503,2.2004,2.2359,0.0339,1.54,5.85,
2012/5/30,SH510300|2012-05-30,2012/5/30,265887198,2.2342,2.2384,2.2266,2.2291,-0.0068,-0.3,2.17,
2012/5/31,SH510300|2012-05-31,2012/5/31,178155984,2.2164,2.2367,2.2097,2.224,-0.0051,-0.23,1.46,
2012/6/1,SH510300|2012-06-01,2012/6/1,179350035,2.2232,2.2494,2.2156,2.224,0,0,1.47,
2012/6/4,SH510300|2012-06-04,2012/6/4,546074272,2.1995,2.202,2.1606,2.1631,-0.0609,-2.74,4.47,
2012/6/5,SH510300|2012-06-05,2012/6/5,127167495,2.1665,2.175,2.1615,2.1657,0.0026,0.12,1.04,
2012/6/6,SH510300|2012-06-06,2012/6/6,136922726,2.1674,2.1767,2.1547,2.164,-0.0017,-0.08,1.12,
2012/6/7,SH510300|2012-06-07,2012/6/7,336424017,2.1801,2.1843,2.1445,2.1505,-0.0135,-0.62,2.75,
2012/6/8,SH510300|2012-06-08,2012/6/8,210182214,2.1631,2.1648,2.1395,2.1429,-0.0076,-0.35,1.72,
2012/6/11,SH510300|2012-06-11,2012/6/11,225455591,2.1505,2.1792,2.1445,2.1682,0.0253,1.18,1.84,
2012/6/12,SH510300|2012-06-12,2012/6/12,157723725,2.1564,2.1665,2.1462,2.1547,-0.0135,-0.62,1.29,
2012/6/13,SH510300|2012-06-13,2012/6/13,188133567,2.1648,2.1885,2.1564,2.186,0.0313,1.45,1.54,
2012/6/14,SH510300|2012-06-14,2012/6/14,152554664,2.1818,2.197,2.1741,2.1767,-0.0093,-0.43,1.25,
2012/6/15,SH510300|2012-06-15,2012/6/15,159835267,2.1834,2.1936,2.1623,2.1851,0.0084,0.39,1.31,
2012/6/18,SH510300|2012-06-18,2012/6/18,132126533,2.1894,2.2054,2.1885,2.1919,0.0068,0.31,1.08,
2012/6/19,SH510300|2012-06-19,2012/6/19,105011686,2.1902,2.1902,2.175,2.1758,-0.0161,-0.73,0.86,
2012/6/20,SH510300|2012-06-20,2012/6/20,119277367,2.1818,2.1877,2.1733,2.1733,-0.0025,-0.11,0.98,
2012/6/21,SH510300|2012-06-21,2012/6/21,179224170,2.1674,2.1682,2.1285,2.1395,-0.0338,-1.56,1.47,
2012/6/25,SH510300|2012-06-25,2012/6/25,231481108,2.1369,2.1369,2.0938,2.0972,-0.0423,-1.98,1.89,
2012/6/26,SH510300|2012-06-26,2012/6/26,185228901,2.0904,2.1014,2.082,2.0972,0,0,1.51,
2012/6/27,SH510300|2012-06-27,2012/6/27,151365795,2.0955,2.1082,2.0887,2.0896,-0.0076,-0.36,1.24,
2012/6/28,SH510300|2012-06-28,2012/6/28,169573950,2.0972,2.1023,2.076,2.0777,-0.0119,-0.57,1.39,
2012/6/29,SH510300|2012-06-29,2012/6/29,197204211,2.0727,2.104,2.0701,2.1014,0.0237,1.14,1.61,
2012/7/2,SH510300|2012-07-02,2012/7/2,186222256,2.1099,2.1099,2.0938,2.1014,0,0,1.94,
2012/7/3,SH510300|2012-07-03,2012/7/3,146903100,2.104,2.1276,2.0989,2.1048,0.0034,0.16,1.53,
2012/7/4,SH510300|2012-07-04,2012/7/4,110336405,2.109,2.1175,2.1006,2.1048,0,0,1.15,
2012/7/5,SH510300|2012-07-05,2012/7/5,208773911,2.0963,2.0963,2.0735,2.0811,-0.0237,-1.13,2.18,
2012/7/6,SH510300|2012-07-06,2012/7/6,175797830,2.0854,2.1242,2.0735,2.1149,0.0338,1.62,1.83,
2012/7/9,SH510300|2012-07-09,2012/7/9,164864331,2.1048,2.1133,2.0701,2.0727,-0.0422,-2,1.72,
2012/7/10,SH510300|2012-07-10,2012/7/10,204195965,2.071,2.0744,2.0617,2.0642,-0.0085,-0.41,2.13,
2012/7/11,SH510300|2012-07-11,2012/7/11,169297647,2.0617,2.0786,2.0591,2.0735,0.0093,0.45,1.76,
2012/7/12,SH510300|2012-07-12,2012/7/12,266044440,2.0684,2.1031,2.0608,2.0921,0.0186,0.9,2.77,
2012/7/13,SH510300|2012-07-13,2012/7/13,177890449,2.0913,2.1107,2.0896,2.0955,0.0034,0.16,1.85,
2012/7/16,SH510300|2012-07-16,2012/7/16,227361107,2.098,2.0989,2.0608,2.0617,-0.0338,-1.61,2.37,
2012/7/17,SH510300|2012-07-17,2012/7/17,258532838,2.0608,2.071,2.0558,2.0659,0.0042,0.2,2.69,
2012/7/18,SH510300|2012-07-18,2012/7/18,315295930,2.0642,2.0727,2.0346,2.0659,0,0,3.29,
2012/7/19,SH510300|2012-07-19,2012/7/19,338043984,2.0642,2.0913,2.0608,2.0727,0.0068,0.33,3.52,
2012/7/20,SH510300|2012-07-20,2012/7/20,270297800,2.0676,2.0727,2.0524,2.0574,-0.0153,-0.74,2.82,
